--  EBBR
-- RWY 01
DENUT|   |1|               |               |DENUT3G| EBBR | 25R | F060 |       |        | 25R
ELSIK|   |1|               |               |ELSIK3G| EBBR | 25R | F060 |       | EBTRANA EBTRANB | 25R
ELSIK|   |1|               |               |ELSIK3K| EBBR | 25R | F060 |       | EBTRANA EBTRANB | 25R
HELEN|   |1|               |               |HELEN3G| EBBR | 25R | F060 |       |        | 25R
KOK  |   |1|               |               |KOK3G  | EBBR | 25R | F060 |       |        | 25R
LNO  |   |3|    0345       |     2044      |LNO3K  | EBBR | 25R | F060 |       |        | 25R
LNO  |   |1|    0345       |     2044      |LNO3G  | EBBR | 25R | F060 |       |        | 25R
LNO  |   |1|    2045       |     0344      |LNO3M  | EBBR | 25R | F060 |       |        | 25R
NIK  |   |1|               |               |NIK3G  | EBBR | 25R | F060 | *EHAM |        | 25R
PITES|   |3|    0345       |     2044      |PITES3K| EBBR | 25R | F060 |       |        | 25R
PITES|   |1|    0345       |     2044      |PITES3G| EBBR | 25R | F060 |       |        | 25R
PITES|   |1|    2045       |     0344      |PITES3M| EBBR | 25R | F060 |       |        | 25R
ROUSY|   |3|    0345       |     2044      |ROUSY3K| EBBR | 25R | F060 |       |        | 25R
ROUSY|   |1|    0345       |     2044      |ROUSY3G| EBBR | 25R | F060 |       |        | 25R
ROUSY|   |1|    2045       |     0344      |ROUSY3M| EBBR | 25R | F060 |       |        | 25R
SOPOK|   |3|    0345       |     2044      |SOPOK3K| EBBR | 25R | F060 |       |        | 25R
SOPOK|   |1|    0345       |     2044      |SOPOK3G| EBBR | 25R | F060 |       |        | 25R
SOPOK|   |1|    2045       |     0344      |SOPOK3M| EBBR | 25R | F060 |       |        | 25R
SPI  |   |3|    0345       |     2044      |SPI3K  | EBBR | 25R | F060 |       |        | 25R
SPI  |   |1|    0345       |     2044      |SPI3G  | EBBR | 25R | F060 |       |        | 25R
SPI  |   |1|    2045       |     0344      |SPI3M  | EBBR | 25R | F060 |       |        | 25R
--
--  EBAW
-- RWY 11
-- specific order to have GILOM2F chosen by default (presuming RWY 01 in use in EBBR)
GILOM|   |1|               |               |GILOM3F| EBAW | 11  | A030 |       |        | 11
GILOM|   |1|               |               |GILOM3E| EBAW | 11  | A030 |       |        | 11
GILOM|   |1|               |               |GILOM3G| EBAW | 11  | A030 |       |        | 11
NIK  |   |1|               |               |NIK4E  | EBAW | 11  | A030 |       |        | 11
PUTTY|   |1|               |               |PUTTY6E| EBAW | 11  | A030 |       | PJE_HOEVENE | 11
PUTTY|   |1|               |               |PUTTY2G| EBAW | 11  | A030 |       |        | 11
SONDI|   |1|               |               |SONDI5E| EBAW | 11  | A030 |       |        | 11
-- RWY 29
-- specific order to have GILOM2C chosen by default (presuming RWY 25 in use in EBBR)
GILOM|   |1|               |               |GILOM3C| EBAW | 29  | A030 |       |        | 29
GILOM|   |1|               |               |GILOM4B| EBAW | 29  | A030 |       |        | 29
GILOM|   |1|               |               |GILOM4D| EBAW | 29  | A030 |       |        | 29
NIK  |   |1|               |               |NIK5C  | EBAW | 29  | A030 |       |        | 29
PUTTY|   |1|               |               |PUTTY6C| EBAW | 29  | A030 |       | PJE_HOEVENE | 29
PUTTY|   |1|               |               |PUTTY2B| EBAW | 29  | A030 |       |        | 29
SONDI|   |1|               |               |SONDI6C| EBAW | 29  | A030 |       |        | 29
--
--  EBOS
-- RWY 08
COA  |   |1|               |               |COA5S  | EBOS | 08  | F050 |       |        | 08
FERDI|   |1|               |               |FERDI3S| EBOS | 08  | F050 |       |        | 08
KOK  |   |1|               |               |KOK4S  | EBOS | 08  | F050 |       |        | 08
KONAN|   |1|               |               |KONAN3S| EBOS | 08  | F050 |       |        | 08
MAK  |   |1|               |               |MAK5S  | EBOS | 08  | F050 |       |        | 08
NIK  |   |1|               |               |NIK3S  | EBOS | 08  | F050 |       |        | 08
SASKI|   |1|               |               |SASKI5S| EBOS | 08  | F050 |       |        | 08
-- RWY 26
COA  |   |1|               |               |COA6M  | EBOS | 26  | F050 |       |        | 26
FERDI|   |1|               |               |FERDI3M| EBOS | 26  | F050 |       |        | 26
KOK  |   |1|               |               |KOK5M  | EBOS | 26  | F050 |       |        | 26
KONAN|   |1|               |               |KONAN3M| EBOS | 26  | F050 |       |        | 26
MAK  |   |1|               |               |MAK3M  | EBOS | 26  | F050 |       |        | 26
NIK  |   |1|               |               |NIK3M  | EBOS | 26  | F050 |       |        | 26
SASKI|   |1|               |               |SASKI5M| EBOS | 26  | F050 |       |        | 26
--
--  EBLG
-- RWY 22L 
BUB  |   |1|               |               |BUB9S  | EBLG | 22L | F050 |       |        | 22L
CIV  |   |1|               |               |CIV5S  | EBLG | 22L | F050 |       |        | 22L
LNO  |   |1|               |               |LNO9S  | EBLG | 22L | F050 |       | EBTRA23 EBTRAS6 EBTSA29A | 22L
LNO  |   |1|               |               |LNO7E  | EBLG | 22L | F050 |       |        | 22L
-- RWY 22R
BUB  |   |1|               |               |BUB9S  | EBLG | 22R | F050 |       |        | 22R
CIV  |   |1|               |               |CIV5S  | EBLG | 22R | F050 |       |        | 22R
LNO  |   |1|               |               |LNO9S  | EBLG | 22R | F050 |       | EBTRA23 EBTRAS6 EBTSA29A | 22R
LNO  |   |1|               |               |LNO7E  | EBLG | 22R | F050 |       |        | 22R
-- RWY 04R
--
BUB  |   |1|               |               |BUB1R  | EBLG | 04R | F050 |       |        | 04R
CIV  |   |1|               |               |CIV6R  | EBLG | 04R | F050 |       |        | 04R
LNO  |   |1|               |               |LNO2R  | EBLG | 04R | F050 |       |        | 04R
-- RWY 04L
BUB  |   |1|               |               |BUB1R  | EBLG | 04L | F050 |       |        | 04L
CIV  |   |1|               |               |CIV6R  | EBLG | 04L | F050 |       |        | 04L
LNO  |   |1|               |               |LNO2R  | EBLG | 04L | F050 |       |        | 04L
--
--  EBCI   |
-- RWY 06
CIV  |   |1|               |               |CIV5X  | EBCI | 06  | A040 |       |        | 06
LNO  |   |1|               |               |LNO7X  | EBCI | 06  | A040 |       |        | 06
RITAX|   |1|               |               |RITAX7X| EBCI | 06  | A040 |       |        | 06
SOPOK|   |1|               |               |SOPOK7X| EBCI | 06  | A040 |       |        | 06
SPI  |   |1|               |               |SPI7X  | EBCI | 06  | A040 |       |        | 06
-- RWY 24
-- MEDIL SID removed - not automatic allocation since ATC discretion
CIV  |   |1|               |               |CIV4Y  | EBCI | 24  | A040 |       |        | 24
LNO  |   |1|               |               |LNO4U  | EBCI | 24  | A040 |       | ABV_CTA_S1 EBTRASA EBTRASB | 24
LNO  |   |1|               |               |LNO8Y  | EBCI | 24  | A040 |       |        | 24
RITAX|   |1|               |               |RITAX4U| EBCI | 24  | A040 |       | ABV_CTA_S1 EBTRASA EBTRASB | 24
RITAX|   |1|               |               |RITAX8Y| EBCI | 24  | A040 |       |        | 24
SOPOK|   |1|               |               |SOPOK4U| EBCI | 24  | A040 |       | ABV_CTA_S1 EBTRASA EBTRASB | 24
SOPOK|   |1|               |               |SOPOK8Y| EBCI | 24  | A040 |       |        | 24
